Ev;Honap;Nap;HetNap;Delelott;Delutan;Ejszaka;Szabad
2020;1;1;Sz;D;A;B;C
2020;1;2;Cs;D;A;C;B
2020;1;3;P;D;B;C;A
2020;1;4;Szo;A;B;C;D
2020;1;5;V;A;B;C;D
2020;1;6;H;A;B;D;C
2020;1;7;K;A;C;D;B
2020;1;8;Sz;B;C;D;A
2020;1;9;Cs;B;C;D;A
2020;1;10;P;B;C;A;D
2020;1;11;Szo;B;D;A;C
2020;1;12;V;C;D;A;B
2020;1;13;H;C;D;A;B
2020;1;14;K;C;D;B;A
2020;1;15;Sz;C;A;B;D
2020;1;16;Cs;D;A;B;C
2020;1;17;P;D;A;B;C
2020;1;18;Szo;D;A;C;B
2020;1;19;V;D;B;C;A
2020;1;20;H;A;B;C;D
2020;1;21;K;A;B;C;D
2020;1;22;Sz;A;B;D;C
2020;1;23;Cs;A;C;D;B
2020;1;24;P;B;C;D;A
2020;1;25;Szo;B;C;D;A
2020;1;26;V;B;C;A;D
2020;1;27;H;B;D;A;C
2020;1;28;K;C;D;A;B
2020;1;29;Sz;C;D;A;B
2020;1;30;Cs;C;D;B;A
2020;1;31;P;C;A;B;D
2020;2;1;Szo;D;A;B;C
2020;2;2;V;D;A;B;C
2020;2;3;H;D;A;C;B
2020;2;4;K;D;B;C;A
2020;2;5;Sz;A;B;C;D
2020;2;6;Cs;A;B;C;D
2020;2;7;P;A;B;D;C
2020;2;8;Szo;A;C;D;B
2020;2;9;V;B;C;D;A
2020;2;10;H;B;C;D;A
2020;2;11;K;B;C;A;D
2020;2;12;Sz;B;D;A;C
2020;2;13;Cs;C;D;A;B
2020;2;14;P;C;D;A;B
2020;2;15;Szo;C;D;B;A
2020;2;16;V;C;A;B;D
2020;2;17;H;D;A;B;C
2020;2;18;K;D;A;B;C
2020;2;19;Sz;D;A;C;B
2020;2;20;Cs;D;B;C;A
2020;2;21;P;A;B;C;D
2020;2;22;Szo;A;B;C;D
2020;2;23;V;A;B;D;C
2020;2;24;H;A;C;D;B
2020;2;25;K;B;C;D;A
2020;2;26;Sz;B;C;D;A
2020;2;27;Cs;B;C;A;D
